"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"FLWS","1-800 FLOWERS.COM, Inc.","3.49","97475700","n/a","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"FCTY","1st Century Bancshares, Inc","4.68","42251040","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty",
"FCCY","1st Constitution Bancorp (NJ)","8.75","44590000","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","21.34","517708400","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"FUBC","1st United Bancorp, Inc. (FL)","5.92","201605600","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fubc",
"TCHC","21st Century Holding Company","3.96","31470120","n/a","1998","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/tchc",
"VNET","21Vianet Group, Inc.","11.35","342384100","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"SSRX","3SBio Inc.","13.11","289311480","n/a","2007","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ssrx",
"JOBS","51job, Inc.","43.98","1265744400","n/a","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"EGHT","8x8 Inc","4.15","293442350","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","13.31","175359250","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","18.32","540769760","n/a","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"AONE","A123 Systems, Inc.","1.44","211484160","n/a","2009","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aone",
"AAON","AAON, Inc.","18.78","461049000","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"ASTM","Aastrom Biosciences, Inc.","2.17","84100520","n/a","1997","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/astm",
"ABAX","ABAXIS, Inc.","35.41","768042900","n/a","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"ABMD","ABIOMED, Inc.","20.71","813343830","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","2.92","269609440","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"ACTG","Acacia Research Corporation","36.35","1806631350","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","16.85","542856450","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","1.51","79919770","n/a","1985","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad",
"ACCL","Accelrys, Inc.","8.03","445785450","n/a","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/accl",
"ANCX","Access National Corporation","12.71","130061430","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ARAY","Accuray Incorporated","6.25","445618750","n/a","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","3.1","70103400","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx",
"ACET","Aceto Corporation","8.53","228766070","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/acet",
"ACHN","Achillion Pharmaceuticals, Inc.","6.38","450721480","n/a","2006","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn",
